s,o,p
ex:coin_5542,ex:issuing_for_2,ex:issuing_for
ex:coin_12497,ex:issuing_for_9,ex:issuing_for
ex:coin_35357,ex:issuing_for_4,ex:issuing_for
ex:coin_35414,ex:issuing_for_4,ex:issuing_for
ex:coin_1861,ex:issuing_for_130,ex:issuing_for
ex:coin_3553,ex:issuing_for_189,ex:issuing_for
ex:coin_3554,ex:issuing_for_179,ex:issuing_for
ex:coin_4285,ex:issuing_for_189,ex:issuing_for
ex:coin_4286,ex:issuing_for_179,ex:issuing_for
ex:coin_4287,ex:issuing_for_179,ex:issuing_for
ex:coin_6322,ex:issuing_for_179,ex:issuing_for
ex:coin_7738,ex:issuing_for_179,ex:issuing_for
ex:coin_40180,ex:issuing_for_179,ex:issuing_for
ex:coin_42315,ex:issuing_for_4,ex:issuing_for
ex:coin_269,ex:issuing_for_12,ex:issuing_for
ex:coin_762,ex:issuing_for_12,ex:issuing_for
ex:coin_1173,ex:issuing_for_13,ex:issuing_for
ex:coin_1648,ex:issuing_for_11,ex:issuing_for
ex:coin_1657,ex:issuing_for_11,ex:issuing_for
ex:coin_1820,ex:issuing_for_11,ex:issuing_for
ex:coin_1921,ex:issuing_for_11,ex:issuing_for
ex:coin_1922,ex:issuing_for_11,ex:issuing_for
ex:coin_1923,ex:issuing_for_11,ex:issuing_for
ex:coin_2137,ex:issuing_for_11,ex:issuing_for
ex:coin_2235,ex:issuing_for_132,ex:issuing_for
ex:coin_2268,ex:issuing_for_11,ex:issuing_for
ex:coin_2269,ex:issuing_for_11,ex:issuing_for
ex:coin_2270,ex:issuing_for_11,ex:issuing_for
ex:coin_2271,ex:issuing_for_11,ex:issuing_for
ex:coin_2272,ex:issuing_for_11,ex:issuing_for
ex:coin_2273,ex:issuing_for_13,ex:issuing_for
ex:coin_2274,ex:issuing_for_13,ex:issuing_for
ex:coin_2275,ex:issuing_for_13,ex:issuing_for
ex:coin_2276,ex:issuing_for_13,ex:issuing_for
ex:coin_2277,ex:issuing_for_12,ex:issuing_for
ex:coin_2884,ex:issuing_for_11,ex:issuing_for
ex:coin_2967,ex:issuing_for_11,ex:issuing_for
ex:coin_3101,ex:issuing_for_11,ex:issuing_for
ex:coin_3277,ex:issuing_for_11,ex:issuing_for
ex:coin_3278,ex:issuing_for_11,ex:issuing_for
ex:coin_3279,ex:issuing_for_13,ex:issuing_for
ex:coin_3565,ex:issuing_for_11,ex:issuing_for
