s,p,o
ex:issuer_119,ex:inPossibleIssuersOf,ex:person_29
ex:coin_29939,nmo:hasIssuer,ex:issuer_119
ex:coin_29939,nmo:hasIssuer,ex:uncertain
ex:coin_29939,nmo:hasPortrait,ex:person_29
ex:coin_29939,nmo:hasPortrait,ex:uncertain
ex:person_29,ex:hasPossibleIssuers,ex:issuer_119
ex:issuer_119,ex:inPossibleIssuersOf,ex:person_29
ex:coin_30152,nmo:hasIssuer,ex:issuer_119
ex:coin_30152,nmo:hasIssuer,ex:uncertain
ex:coin_30152,nmo:hasPortrait,ex:person_29
ex:coin_30152,nmo:hasPortrait,ex:uncertain
ex:person_29,ex:hasPossibleIssuers,ex:issuer_119
ex:issuer_119,ex:inPossibleIssuersOf,ex:person_29
ex:coin_30495,nmo:hasIssuer,ex:issuer_119
ex:coin_30495,nmo:hasIssuer,ex:uncertain
ex:coin_30495,nmo:hasPortrait,ex:person_29
ex:coin_30495,nmo:hasPortrait,ex:uncertain
ex:person_29,ex:hasPossibleIssuers,ex:issuer_119
ex:issuer_119,ex:inPossibleIssuersOf,ex:person_29
ex:coin_30945,nmo:hasIssuer,ex:issuer_119
ex:coin_30945,nmo:hasIssuer,ex:uncertain
ex:coin_30945,nmo:hasPortrait,ex:person_29
ex:coin_30945,nmo:hasPortrait,ex:uncertain
ex:person_29,ex:hasPossibleIssuers,ex:issuer_119
ex:issuer_119,ex:inPossibleIssuersOf,ex:person_29
ex:coin_32258,nmo:hasIssuer,ex:issuer_119
ex:coin_32258,nmo:hasIssuer,ex:uncertain
ex:coin_32258,nmo:hasPortrait,ex:person_29
ex:coin_32258,nmo:hasPortrait,ex:uncertain
ex:person_29,ex:hasPossibleIssuers,ex:issuer_119
ex:issuer_119,ex:inPossibleIssuersOf,ex:person_29
ex:coin_34165,nmo:hasIssuer,ex:issuer_119
ex:coin_34165,nmo:hasIssuer,ex:uncertain
ex:coin_34165,nmo:hasPortrait,ex:person_29
ex:coin_34165,nmo:hasPortrait,ex:uncertain
ex:person_29,ex:hasPossibleIssuers,ex:issuer_119
ex:issuer_119,ex:inPossibleIssuersOf,ex:person_29
ex:coin_34267,nmo:hasIssuer,ex:issuer_119
ex:coin_34267,nmo:hasIssuer,ex:uncertain
ex:coin_34267,nmo:hasPortrait,ex:person_29
ex:coin_34267,nmo:hasPortrait,ex:uncertain
ex:person_29,ex:hasPossibleIssuers,ex:issuer_119
ex:issuer_119,ex:inPossibleIssuersOf,ex:person_29
ex:coin_34413,nmo:hasIssuer,ex:issuer_119
ex:coin_34413,nmo:hasIssuer,ex:uncertain
ex:coin_34413,nmo:hasPortrait,ex:person_29
ex:coin_34413,nmo:hasPortrait,ex:uncertain
ex:person_29,ex:hasPossibleIssuers,ex:issuer_119
ex:issuer_119,ex:inPossibleIssuersOf,ex:person_29
ex:coin_34417,nmo:hasIssuer,ex:issuer_119
ex:coin_34417,nmo:hasIssuer,ex:uncertain
ex:coin_34417,nmo:hasPortrait,ex:person_29
ex:coin_34417,nmo:hasPortrait,ex:uncertain
ex:person_29,ex:hasPossibleIssuers,ex:issuer_119
ex:issuer_119,ex:inPossibleIssuersOf,ex:person_29
ex:coin_34630,nmo:hasIssuer,ex:issuer_119
ex:coin_34630,nmo:hasIssuer,ex:uncertain
ex:coin_34630,nmo:hasPortrait,ex:person_29
ex:coin_34630,nmo:hasPortrait,ex:uncertain
ex:person_29,ex:hasPossibleIssuers,ex:issuer_119
